comparison,component,variable,count,mean,median,std,min,max,sum,abs_sum,mean_abs,positive_grid_count,negative_grid_count,zero_grid_count
festival_pre,mobility_component,festival_pre_mobility_component,59918,810490.9027210614,744413.4426268168,48841585.06874984,-3545721310.9125075,171385350.7761095,48562993909.240555,523287699411.21497,8733397.299830018,47619,12299,0
festival_pre,pollution_component,festival_pre_pollution_component,59918,6114190.165882334,-3346.439446139674,77246714.18607973,-2254733361.4144635,5304097480.438261,366350046359.3377,725041627956.3853,12100564.570853254,25180,34737,1
festival_pre,interaction_component,festival_pre_interaction_component,59918,698215.7714261854,-165.6455734093589,25124528.490059897,-2002210543.7169166,743176881.7540071,41835692592.31418,191782846499.61536,3200755.1403520703,28457,31460,1
festival_pre,decomposed_total_change,festival_pre_decomposed_total_change,59918,7622896.840029581,258814.32206299476,74730310.27172972,-3487981849.4319534,2401484587.2213798,456748732860.89246,1036018494336.4016,17290605.399652887,40871,19047,0
festival_pre,actual_total_change,festival_pre_actual_total_change,59918,7622896.840029581,258814.32206299453,74730310.27172972,-3487981849.431954,2401484587.2213798,456748732860.89246,1036018494336.4016,17290605.399652887,40871,19047,0
post_festival,mobility_component,post_festival_mobility_component,59918,-874647.3891151204,-867684.6976725442,80221147.69802196,-314901076.3699157,4444972366.518643,-52407122260.99979,825209891974.8018,13772320.370753393,11070,48848,0
post_festival,pollution_component,post_festival_pollution_component,59918,-9668277.15132,-79833.76426317447,42169809.06199265,-1893749504.965807,1064336939.8485413,-579303830352.7917,686106201478.4279,11450752.720024498,20791,39127,0
post_festival,interaction_component,post_festival_interaction_component,59918,592229.7659874758,8230.201638803797,25716174.221691318,-1761964132.359024,386767468.2817733,35485223118.43757,242609758802.89963,4049029.653908669,36701,23217,0
post_festival,decomposed_total_change,post_festival_decomposed_total_change,59918,-9950694.774447642,-799879.8342878812,58763833.078829385,-930301802.6493083,2984362468.8914127,-596225729495.3539,1023774622351.4316,17086261.596706025,13645,46273,0
post_festival,actual_total_change,post_festival_actual_total_change,59918,-9950694.774447646,-799879.834287881,58763833.078829385,-930301802.6493082,2984362468.891413,-596225729495.354,1023774622351.4318,17086261.59670603,13645,46273,0
