province,festival_pre_mobility_component,festival_pre_pollution_component,festival_pre_interaction_component,festival_pre_decomposed_total_change,festival_pre_actual_total_change,post_festival_mobility_component,post_festival_pollution_component,post_festival_interaction_component,post_festival_decomposed_total_change,post_festival_actual_total_change,grid_count
上海,-14338095297.798834,-15989402679.766167,5391541974.8568945,-24935956002.708107,-24935956002.708107,12743865907.155827,754152349.3755809,526509477.3851868,14024527733.916595,14024527733.916594,59
云南,-1850957193.0189261,-9819680525.258871,598637359.0162712,-11072000359.261526,-11072000359.261526,2075535098.534031,5582626332.227501,914498913.6296604,8572660344.391192,8572660344.391192,3740
内蒙古,-439217645.4221212,5336674438.334211,-843625946.7479191,4053830846.1641707,4053830846.1641707,1696109911.4905229,2358715300.83579,-799110160.4659086,3255715051.8604045,3255715051.8604045,7102
北京,-7006363951.4113455,35682836630.04426,-12887120954.04302,15789351724.58989,15789351724.589891,24809253053.35093,-1623134904.3663938,-1514680059.9172683,21671438089.067265,21671438089.067265,158
台湾,960041588.9131216,2880868736.14562,112124694.90299049,3953035019.961732,3953035019.961732,-2302054557.843103,-3809366599.5750003,426283796.62420386,-5685137360.7939,-5685137360.7939,360
吉林,368585291.28604484,-9039121115.828623,133530395.06754176,-8537005429.475036,-8537005429.475036,-139927995.49159795,8771724201.55695,197701820.38224342,8829498026.447596,8829498026.447594,1768
四川,3457507434.7455564,-1582571088.9184449,-840797149.3604364,1034139196.4666755,1034139196.4666755,-747577070.9709349,-48109937983.437096,117548688.83619289,-48739966365.57183,-48739966365.57183,3541
天津,-1769600827.197579,22171868355.340275,-3159755393.8887086,17242512134.25399,17242512134.25399,7820456481.309665,-6968637120.742404,-2027323206.1722474,-1175503845.6049864,-1175503845.6049867,113
宁夏,108959426.47066675,1194576097.0592325,-116894901.84177096,1186640621.6881282,1186640621.6881282,-17166460.766004704,-1417198603.2995505,-70933394.24976337,-1505298458.3153186,-1505298458.3153183,483
安徽,17540719629.72529,-1767473501.0567791,2764415647.481443,18537661776.149956,18537661776.149956,-25472491636.931435,-26068291043.160713,6879948047.25825,-44660834632.8339,-44660834632.8339,1359
山东,11952701753.16207,64679037051.59767,7950864318.536537,84582603123.29628,84582603123.29628,-21111422844.832897,-28021698754.084583,4895971542.803292,-44237150056.11419,-44237150056.11419,1477
山西,3364443784.495064,47187928124.73303,3237720411.0229607,53790092320.25105,53790092320.25105,-6326266648.012602,-24972417654.949993,2561352121.505596,-28737332181.456997,-28737332181.456997,1512
广东,-19221881778.4414,1102747966.4576335,-856643803.0338432,-18975777615.01761,-18975777615.01761,40565718366.022125,-48292074294.068695,-17283171679.483097,-25009527607.529667,-25009527607.529667,1782
广西,13399910467.86201,-1028536299.5689341,-211230695.9031347,12160143472.38994,12160143472.38994,-14153732695.863691,-34882870979.40534,6253516518.935393,-42783087156.33364,-42783087156.33364,2371
新疆,-134757028.91540015,-17248113943.69424,-124950761.99264227,-17507821734.602283,-17507821734.602283,610333123.6210434,7130239316.837584,-1061798859.722108,6678773580.73652,6678773580.73652,4463
江苏,-5084390926.997802,-22035709154.250237,5315939872.346022,-21804160208.90202,-21804160208.90202,2324603157.868743,-7709516898.750816,874507603.9027479,-4510406136.979326,-4510406136.979324,976
江西,12215837735.835796,3911712452.482369,1134962598.7404766,17262512787.058643,17262512787.058643,-14940436490.524544,-37358677072.79147,7663436441.450649,-44635677121.86537,-44635677121.86537,1650
河北,8574528100.231121,124902560381.52753,14017853181.009789,147494941662.76843,147494941662.76843,-24158568558.0795,-64423365138.129684,7371885732.712806,-81210047963.49638,-81210047963.49638,1809
河南,22923282755.03684,123295011626.04704,15929999635.868298,162148294016.95218,162148294016.95218,-45935614698.50052,-83724358226.86823,15992422572.30773,-113667550353.06102,-113667550353.06102,1598
浙江,-15009458715.295795,-32659000094.62741,6476110219.941132,-41192348589.98207,-41192348589.98207,18182304368.070107,-7413991524.13529,-1037060444.5017658,9731252399.433052,9731252399.43305,1000
海南,-300509343.67433083,-2396866655.1050324,69518835.01202816,-2627857163.7673354,-2627857163.767335,265963728.68132854,-1441030190.1241608,-235593929.43754235,-1410660390.8803744,-1410660390.8803744,351
湖北,6769361290.159997,10032139125.202816,979321615.2114402,17780822030.574253,17780822030.574253,-7247630468.058379,-39189290822.98843,3107286396.6360035,-43329634894.410805,-43329634894.410805,1808
湖南,9161404534.376991,19017508793.501347,505670532.48212266,28684583860.360462,28684583860.360462,-11985905023.7219,-67485669007.42411,5651578877.937803,-73819995153.2082,-73819995153.2082,2087
澳门,-2965079.8058007318,-1876373.8026865574,247302.13648053465,-4594151.472006755,-4594151.472006753,6750022.87555832,-6359454.994487895,-2397722.3691875287,-2007154.488117103,-2007154.4881171025,1
甘肃,2632277309.610919,-2807172385.3410993,305447629.662401,130552553.93222062,130552553.93222095,-3820419031.560991,-5978164207.636398,1208653029.2353704,-8589930209.962019,-8589930209.962019,2519
福建,1266117547.2109528,3605214834.856362,-653953984.2548373,4217378397.8124776,4217378397.812477,1821830489.8188815,-13112071768.709963,-431443734.4567379,-11721685013.34782,-11721685013.34782,1203
西藏,-176759904.16332823,-34935173.11478191,1786017.0870989757,-209909060.1910112,-209909060.19101122,273194918.1948276,-353016326.2294378,-61559294.03829772,-141380702.07290792,-141380702.07290787,2344
