comparison,analysis_target,model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
festival_pre,mobility,B0_RF,0,32184.0,8046.0,3,0.6770122340635674,51879228.83560645,8283253.001279341,,,,,,
festival_pre,mobility,B0_RF,1,32184.0,8046.0,3,0.5924807353924373,21840630.218353137,6537377.12334521,,,,,,
festival_pre,mobility,B0_RF,2,32184.0,8046.0,3,0.8575830741216526,18215631.258850757,6032212.8185989885,,,,,,
festival_pre,mobility,B0_RF,3,32184.0,8046.0,3,0.27266268049490305,43925376.38553573,8100567.719394397,,,,,,
festival_pre,mobility,B0_RF,4,32184.0,8046.0,3,0.8385241580764091,20510101.462893743,6619292.191539136,,,,,,
festival_pre,mobility,B0_XGBoost,0,32184.0,8046.0,3,0.5571811890086503,60745415.40569315,9044414.29317015,,,,,,
festival_pre,mobility,B0_XGBoost,1,32184.0,8046.0,3,0.594777587443698,21778994.383070886,6524479.109972994,,,,,,
festival_pre,mobility,B0_XGBoost,2,32184.0,8046.0,3,0.7646196166328043,23417932.80906348,6690359.070265126,,,,,,
festival_pre,mobility,B0_XGBoost,3,32184.0,8046.0,3,0.4273749239455331,38974696.047151476,8454061.601788055,,,,,,
festival_pre,mobility,B0_XGBoost,4,32184.0,8046.0,3,0.7434409796322754,25852805.231451392,7168752.813546902,,,,,,
festival_pre,mobility,B1_RF,0,32184.0,8046.0,10,0.7086252968455695,49274973.29928843,6193659.127900267,,,,,,
festival_pre,mobility,B1_RF,1,32184.0,8046.0,10,0.8555997312753613,13000950.198601058,3850923.965555902,,,,,,
festival_pre,mobility,B1_RF,2,32184.0,8046.0,10,0.9070870465831795,14713010.850316353,3829501.1378154214,,,,,,
festival_pre,mobility,B1_RF,3,32184.0,8046.0,10,0.5135857213711623,35921189.80802327,5626419.428090464,,,,,,
festival_pre,mobility,B1_RF,4,32184.0,8046.0,10,0.9206666304878034,14376129.631508643,4112257.315120593,,,,,,
festival_pre,mobility,B1_XGBoost,0,32184.0,8046.0,10,0.6416633962313715,54644450.38731729,6918133.477339197,,,,,,
festival_pre,mobility,B1_XGBoost,1,32184.0,8046.0,10,0.7370062337175194,17545422.12048378,4413927.192464295,,,,,,
festival_pre,mobility,B1_XGBoost,2,32184.0,8046.0,10,0.8012413320019165,21519216.824462034,4667694.537552498,,,,,,
festival_pre,mobility,B1_XGBoost,3,32184.0,8046.0,10,0.6813723882836067,29072960.608074483,5496399.042823497,,,,,,
festival_pre,mobility,B1_XGBoost,4,32184.0,8046.0,10,0.8133684967878886,22049894.051729877,4874117.20890011,,,,,,
festival_pre,mobility,B0_RF,mean_std,,,3,,,,0.6476525764297939,0.23718458957872665,31274193.632247966,15491963.650252357,7114540.570831415,1010935.2412920707
festival_pre,mobility,B0_XGBoost,mean_std,,,3,,,,0.6174788593325922,0.1394699978945178,34153968.77528608,16337504.55994574,7576413.377748646,1116147.186527609
festival_pre,mobility,B1_RF,mean_std,,,10,,,,0.7811128853126152,0.17155047453304098,25457250.75754755,16356705.717658417,4722552.194896529,1108023.8472829915
festival_pre,mobility,B1_XGBoost,mean_std,,,10,,,,0.7349303694044605,0.07436595058774849,28966388.798413493,14942481.005199926,5274054.29181592,1002481.1725778383
