comparison,analysis_target,model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
festival_pre,pollution,B0_RF,0,32184.0,8046.0,3,0.07559798095998027,124978521.08543111,25257145.71156224,,,,,,
festival_pre,pollution,B0_RF,1,32184.0,8046.0,3,0.0899441575608434,59425718.509946175,16093295.520158736,,,,,,
festival_pre,pollution,B0_RF,2,32184.0,8046.0,3,-0.08239266737279016,80709389.69491768,21938070.47595982,,,,,,
festival_pre,pollution,B0_RF,3,32184.0,8046.0,3,0.016957720203298,103404402.51156984,23704246.179936368,,,,,,
festival_pre,pollution,B0_RF,4,32184.0,8046.0,3,0.09296471919092797,75491222.75274181,19222960.035538655,,,,,,
festival_pre,pollution,B0_XGBoost,0,32184.0,8046.0,3,-0.020268429755169404,131299225.02680427,26216277.751784474,,,,,,
festival_pre,pollution,B0_XGBoost,1,32184.0,8046.0,3,0.026290897803208924,61468842.51944391,16166648.493845576,,,,,,
festival_pre,pollution,B0_XGBoost,2,32184.0,8046.0,3,-0.2709356181787894,87456766.85008012,22574962.738753717,,,,,,
festival_pre,pollution,B0_XGBoost,3,32184.0,8046.0,3,-0.13356730175698428,111039266.96810809,24791877.209029496,,,,,,
festival_pre,pollution,B0_XGBoost,4,32184.0,8046.0,3,-0.11290604350405542,83620665.61518289,21106777.800360065,,,,,,
festival_pre,pollution,B1_RF,0,32184.0,8046.0,10,0.3847163221694605,101963007.20606497,15625746.353703339,,,,,,
festival_pre,pollution,B1_RF,1,32184.0,8046.0,10,0.24549242024612494,54109338.41154938,13485012.384985503,,,,,,
festival_pre,pollution,B1_RF,2,32184.0,8046.0,10,0.293585709667622,65202069.539934255,14797547.17953448,,,,,,
festival_pre,pollution,B1_RF,3,32184.0,8046.0,10,0.6019306102769157,65800974.06290805,11946367.491117803,,,,,,
festival_pre,pollution,B1_RF,4,32184.0,8046.0,10,0.4173363114782914,60505289.977540396,10222421.22556747,,,,,,
festival_pre,pollution,B1_XGBoost,0,32184.0,8046.0,10,0.4085850616247433,99965716.5954731,16205419.083636874,,,,,,
festival_pre,pollution,B1_XGBoost,1,32184.0,8046.0,10,0.20413350415713405,55572576.392752804,14237779.744670983,,,,,,
festival_pre,pollution,B1_XGBoost,2,32184.0,8046.0,10,0.2749367904017188,66057111.179171145,14479619.95611599,,,,,,
festival_pre,pollution,B1_XGBoost,3,32184.0,8046.0,10,0.6364000502357081,62887573.56581913,13462872.442650434,,,,,,
festival_pre,pollution,B1_XGBoost,4,32184.0,8046.0,10,0.39778514200319337,61512036.12484263,11485835.139844364,,,,,,
festival_pre,pollution,B0_RF,mean_std,,,3,,,,0.038614382108451896,0.07427686147450697,88801850.91092132,25630079.416099824,21243143.584631164,3648775.1062202826
festival_pre,pollution,B0_XGBoost,mean_std,,,3,,,,-0.10227729907835792,0.1148835268592971,94976953.39592385,26858971.06216284,22171308.798754666,3891698.2395567386
festival_pre,pollution,B1_RF,mean_std,,,10,,,,0.3886122747676829,0.1377119292481752,69516135.8395994,18733511.461253155,13215418.92698172,2176810.483923084
festival_pre,pollution,B1_XGBoost,mean_std,,,10,,,,0.3843681096844995,0.1648835219519372,69199002.77161177,17614378.0262373,13974305.273383731,1714400.6026725865
