feature,xgboost_importance,random_forest_importance
festival_pre_pm25_change,0.19642378,0.33042597844361354
festival_pre_count_change,0.19282609,0.35193179217097376
pre_mean_count,0.15409766,0.2554326729289738
festival_pre_wind_speed_change,0.097925454,0.023464195192770522
pre_day_night_ratio,0.053611495,0.0014143001792926758
road_density_m_per_km2,0.046377294,0.0009559596508185881
pre_mean_pm25,0.04504786,0.014822099264980104
built_up_ratio,0.041958984,0.004045835714123135
festival_pre_temperature_change,0.039401006,0.00403792422209431
pre_count_cv,0.03506527,0.00481707319113601
nighttime_light_2018,0.034563035,0.001565326100176649
festival_pre_precipitation_change,0.033054285,0.0017801913682999907
pre_daily_relative_amplitude,0.029647809,0.005306651572746848
