model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
B0_RF,0,32184.0,8046.0,5,0.46781660736638764,94829434.12774946,21400683.94874989,,,,,,
B0_RF,1,32184.0,8046.0,5,0.3310406853716472,49552798.029932335,14322358.3505854,,,,,,
B0_RF,2,32184.0,8046.0,5,0.454113532289967,67560243.64664023,17737550.999440413,,,,,,
B0_RF,3,32184.0,8046.0,5,0.1489665129654647,73039111.81842066,16821648.887142953,,,,,,
B0_RF,4,32184.0,8046.0,5,0.492937335947506,54260637.581609234,14926833.256299984,,,,,,
B0_XGBoost,0,32184.0,8046.0,5,0.4213073806769295,98886378.43805565,22832190.737048823,,,,,,
B0_XGBoost,1,32184.0,8046.0,5,0.28578493475712696,51201517.530149326,14582438.14506309,,,,,,
B0_XGBoost,2,32184.0,8046.0,5,0.32855513631132316,74928186.40694895,19482757.654107135,,,,,,
B0_XGBoost,3,32184.0,8046.0,5,0.260181921994883,68099610.57547913,18415300.424543362,,,,,,
B0_XGBoost,4,32184.0,8046.0,5,0.48329344945203,54774202.03062434,15619835.203557545,,,,,,
B1_RF,0,32184.0,8046.0,13,0.7957619603001256,58746340.31744669,5637722.439798067,,,,,,
B1_RF,1,32184.0,8046.0,13,0.8858911351675847,20465766.842231743,2751791.3309667115,,,,,,
B1_RF,2,32184.0,8046.0,13,0.8615068030134445,34029397.763705425,4310535.811453009,,,,,,
B1_RF,3,32184.0,8046.0,13,0.7751673611842975,37541518.7042659,3664720.1307065208,,,,,,
B1_RF,4,32184.0,8046.0,13,0.9394186440591712,18755280.78830011,2670759.6782029383,,,,,,
B1_XGBoost,0,32184.0,8046.0,13,0.767573634142435,62669350.82892145,6122466.237769153,,,,,,
B1_XGBoost,1,32184.0,8046.0,13,0.8677776971538268,22030314.037975986,3235671.162368854,,,,,,
B1_XGBoost,2,32184.0,8046.0,13,0.921920869029808,25550978.01956299,4340166.589246138,,,,,,
B1_XGBoost,3,32184.0,8046.0,13,0.8571174319127751,29927592.54208658,4278919.262810347,,,,,,
B1_XGBoost,4,32184.0,8046.0,13,0.9106943347702771,22771601.786431864,3531293.3222700795,,,,,,
B0_RF,mean_std,,,5,,,,0.3789749347881945,0.14294023827768954,67848445.04087038,17849083.063593823,17041815.088443726,2801823.1767357085
B0_XGBoost,mean_std,,,5,,,,0.3558245646384585,0.09398537433956569,69577978.99625148,19017352.068759046,18186504.432863988,3274603.258251823
B1_RF,mean_std,,,13,,,,0.8515491807449248,0.06698127160313752,33907660.88318997,16128072.393485239,3807105.8782254495,1227787.0208459913
B1_XGBoost,mean_std,,,13,,,,0.8650167934018244,0.06101168616842026,32589967.442995775,17097598.525040228,4301703.314892914,1123291.1760505708
