comparison,analysis_target,model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
post_festival,mobility,B0_RF,0,36010.0,9003.0,3,0.6373879554220713,73557227.81350338,15456981.294264477,,,,,,
post_festival,mobility,B0_RF,1,36010.0,9003.0,3,0.1973184781965297,41511654.27313874,9457275.261991417,,,,,,
post_festival,mobility,B0_RF,2,36010.0,9003.0,3,0.5777213106365345,56710149.476720616,9370319.61745963,,,,,,
post_festival,mobility,B0_RF,3,36011.0,9002.0,3,0.5956498490827757,51039563.58429662,11748452.292859696,,,,,,
post_festival,mobility,B0_RF,4,36011.0,9002.0,3,0.6113489119000101,64464665.84991045,10003563.659226961,,,,,,
post_festival,mobility,B0_XGBoost,0,36010.0,9003.0,3,0.5925989384122206,77967806.9614643,16351073.815357907,,,,,,
post_festival,mobility,B0_XGBoost,1,36010.0,9003.0,3,0.10124100125135937,43925835.81016218,10191569.270827863,,,,,,
post_festival,mobility,B0_XGBoost,2,36010.0,9003.0,3,0.4971066609417195,61886960.18595756,9731355.885199971,,,,,,
post_festival,mobility,B0_XGBoost,3,36011.0,9002.0,3,0.49680046810015066,56937482.61681205,12520861.59574965,,,,,,
post_festival,mobility,B0_XGBoost,4,36011.0,9002.0,3,0.5439580780790493,69830343.04339518,10607819.210572561,,,,,,
post_festival,mobility,B1_RF,0,36010.0,9003.0,10,0.7012742182329118,66763730.25459489,13876617.791969627,,,,,,
post_festival,mobility,B1_RF,1,36010.0,9003.0,10,0.46885128019260525,33768088.51545799,7463650.884518837,,,,,,
post_festival,mobility,B1_RF,2,36010.0,9003.0,10,0.6537988063105589,51348231.43950456,8302732.141073022,,,,,,
post_festival,mobility,B1_RF,3,36011.0,9002.0,10,0.7038484267837692,43680255.44921655,9799450.935931768,,,,,,
post_festival,mobility,B1_RF,4,36011.0,9002.0,10,0.7097506896496771,55709260.06253266,8367484.19759346,,,,,,
post_festival,mobility,B1_XGBoost,0,36010.0,9003.0,10,0.5913582820743457,78086434.19528212,15187497.938673412,,,,,,
post_festival,mobility,B1_XGBoost,1,36010.0,9003.0,10,0.024674678027230112,45758645.23316142,8567903.527964137,,,,,,
post_festival,mobility,B1_XGBoost,2,36010.0,9003.0,10,0.4614623703916303,64042641.535588734,9195154.875215197,,,,,,
post_festival,mobility,B1_XGBoost,3,36011.0,9002.0,10,0.6043446408911667,50487826.39149439,10403796.889777178,,,,,,
post_festival,mobility,B1_XGBoost,4,36011.0,9002.0,10,0.6424422693650876,61832225.478462905,8849644.296811452,,,,,,
post_festival,mobility,B0_RF,mean_std,,,3,,,,0.5238853010475844,0.1838661822111313,57456652.19951396,12291460.876445223,11207318.425160436,2561186.326332443
post_festival,mobility,B0_XGBoost,mean_std,,,3,,,,0.4463410293568999,0.19693767914583493,62109685.72355826,12928091.970220579,11880535.95554159,2715102.0713460273
post_festival,mobility,B1_RF,mean_std,,,10,,,,0.6475046842339045,0.10234378345736955,50253913.14426133,12435109.49620006,9561987.190217342,2553820.7743546404
post_festival,mobility,B1_XGBoost,mean_std,,,10,,,,0.46485644814989213,0.25532719415942634,60041554.56679791,12650178.863682756,10440799.505688276,2744251.263770564
