comparison,analysis_target,model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
post_festival,pollution,B0_RF,0,36010.0,9003.0,3,0.39426883688871395,51676624.680041924,17330161.211802773,,,,,,
post_festival,pollution,B0_RF,1,36010.0,9003.0,3,0.11332348081386079,32048376.441513978,9363101.795504073,,,,,,
post_festival,pollution,B0_RF,2,36010.0,9003.0,3,0.3935303869750182,33375719.536098868,11351536.894957317,,,,,,
post_festival,pollution,B0_RF,3,36011.0,9002.0,3,0.48830605315179754,35717367.76625728,11695464.39846767,,,,,,
post_festival,pollution,B0_RF,4,36011.0,9002.0,3,0.03658721709553736,37362968.91120743,11903880.3054089,,,,,,
post_festival,pollution,B0_XGBoost,0,36010.0,9003.0,3,0.2991295120815687,55586978.40830688,18121905.756831456,,,,,,
post_festival,pollution,B0_XGBoost,1,36010.0,9003.0,3,-0.07695646486886987,35320147.06274387,10062168.626716422,,,,,,
post_festival,pollution,B0_XGBoost,2,36010.0,9003.0,3,0.39015907727399546,33468357.27572708,11527762.673277035,,,,,,
post_festival,pollution,B0_XGBoost,3,36011.0,9002.0,3,0.4438818062457287,37235557.24192353,11940797.09935317,,,,,,
post_festival,pollution,B0_XGBoost,4,36011.0,9002.0,3,-0.20733150800540856,41826203.26433867,12176847.229338432,,,,,,
post_festival,pollution,B1_RF,0,36010.0,9003.0,10,0.49911991146275847,46991690.035299145,12171884.837020721,,,,,,
post_festival,pollution,B1_RF,1,36010.0,9003.0,10,0.34891454483734685,27462648.996252466,6010184.141837669,,,,,,
post_festival,pollution,B1_RF,2,36010.0,9003.0,10,0.5725475154822053,28020122.999031514,8302003.704468615,,,,,,
post_festival,pollution,B1_RF,3,36011.0,9002.0,10,0.5970109334563851,31697202.73279018,8794310.77849467,,,,,,
post_festival,pollution,B1_RF,4,36011.0,9002.0,10,0.32301968979119455,31320103.973375592,8273939.863767158,,,,,,
post_festival,pollution,B1_XGBoost,0,36010.0,9003.0,10,0.5203844336937995,45983372.04957079,12624970.087915363,,,,,,
post_festival,pollution,B1_XGBoost,1,36010.0,9003.0,10,0.33823716639477963,27686918.068827633,6699454.087735134,,,,,,
post_festival,pollution,B1_XGBoost,2,36010.0,9003.0,10,0.5563078729014623,28547427.31231846,8798006.734105514,,,,,,
post_festival,pollution,B1_XGBoost,3,36011.0,9002.0,10,0.6372466700989841,30073225.42335149,8805190.908683518,,,,,,
post_festival,pollution,B1_XGBoost,4,36011.0,9002.0,10,0.024232169512396373,37601781.75168161,9145032.436097963,,,,,,
post_festival,pollution,B0_RF,mean_std,,,3,,,,0.2852031949849856,0.19763185874835565,38036211.467023894,7897238.719963527,12328828.921228146,2972612.2230451973
post_festival,pollution,B0_XGBoost,mean_std,,,3,,,,0.1697764845454029,0.2930537521801064,40687448.65060801,8890043.72855058,12765896.277103303,3104743.266726127
post_festival,pollution,B1_RF,mean_std,,,10,,,,0.46812251900597807,0.1262368941308793,33098353.74734978,7995307.767825408,8710464.665117767,2215703.5530593633
post_festival,pollution,B1_XGBoost,mean_std,,,10,,,,0.41528166252028437,0.2444683054493976,33978544.92114999,7771371.288632041,9214530.850907499,2139076.230047155
