feature,xgboost_importance,random_forest_importance
post_festival_count_change,0.29354802,0.5907172318208334
festival_mean_count,0.10037313,0.144354198381874
built_up_ratio,0.08716928,0.025865419713817936
post_festival_pm25_change,0.0781754,0.11292942045420988
post_festival_temperature_change,0.06676348,0.0412218591417081
post_festival_precipitation_change,0.066133164,0.01576891133663439
festival_day_night_ratio,0.06206413,0.010042881897798782
festival_mean_pm25,0.060917985,0.037021479545780736
festival_count_cv,0.048280086,0.0050237766772541735
road_density_m_per_km2,0.045867424,0.002599739567923064
nighttime_light_2018,0.034809813,0.0042674839048584745
post_festival_wind_speed_change,0.034601122,0.00572215909344294
festival_daily_relative_amplitude,0.021296918,0.004465438463864102
