model,fold,n_train,n_validation,n_features,r2,rmse,mae,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
B0_RF,0,36010.0,9003.0,4,0.2434116494972146,61162716.904400274,11943184.363759609,,,,,,
B0_RF,1,36010.0,9003.0,4,0.546483732463914,32884127.534526248,6498123.247822795,,,,,,
B0_RF,2,36010.0,9003.0,4,0.7973279096541162,29434136.031036217,5930455.475849842,,,,,,
B0_RF,3,36011.0,9002.0,4,0.7474631929068802,37643315.18832412,6112535.586378248,,,,,,
B0_RF,4,36011.0,9002.0,4,0.5792300979184717,50371664.73198162,8222416.672903178,,,,,,
B0_XGBoost,0,36010.0,9003.0,4,0.25758066337538177,60587297.51449886,12076275.723355185,,,,,,
B0_XGBoost,1,36010.0,9003.0,4,0.28340775019001463,41335761.4675569,7222820.149496109,,,,,,
B0_XGBoost,2,36010.0,9003.0,4,0.5103675903066045,45749820.841142386,7565040.155436591,,,,,,
B0_XGBoost,3,36011.0,9002.0,4,0.6873707905335209,41883242.62876741,6730068.987179696,,,,,,
B0_XGBoost,4,36011.0,9002.0,4,0.3048109010030545,64746373.37157898,9462905.961873554,,,,,,
B1_RF,0,36010.0,9003.0,13,0.3607229736888996,56221378.85477477,7076043.9741151435,,,,,,
B1_RF,1,36010.0,9003.0,13,0.8440201929062242,19285196.949504618,2012418.5532943257,,,,,,
B1_RF,2,36010.0,9003.0,13,0.8972196563745677,20960872.289858386,2463446.0974533586,,,,,,
B1_RF,3,36011.0,9002.0,13,0.797740256234564,33688389.355093226,3523936.2276614318,,,,,,
B1_RF,4,36011.0,9002.0,13,0.7878758668642254,35765064.359532796,3259249.82143502,,,,,,
B1_XGBoost,0,36010.0,9003.0,13,0.748583584695321,35257682.20153578,5650907.236172417,,,,,,
B1_XGBoost,1,36010.0,9003.0,13,0.7453956524417709,24638984.063007776,2771008.9027802674,,,,,,
B1_XGBoost,2,36010.0,9003.0,13,0.8246650874195522,27377167.924935646,3061496.2436729097,,,,,,
B1_XGBoost,3,36011.0,9002.0,13,0.7955142914536012,33873260.480596185,3353180.0915172896,,,,,,
B1_XGBoost,4,36011.0,9002.0,13,0.7041417223271085,42238241.88935631,4044996.1196851097,,,,,,
B0_RF,mean_std,,,4,,,,0.5827833164881193,0.21774541193374258,42299192.0780537,13198746.916721057,7741343.069342734,2518175.1970900064
B0_XGBoost,mean_std,,,4,,,,0.40870753908171525,0.1852848177710804,50860499.164708905,11009755.953983739,8611422.195468226,2196181.65711985
B1_RF,mean_std,,,13,,,,0.7375157892136961,0.21504910071426517,33184180.36175276,14834239.982555943,3667018.9347918555,1999655.5970248694
B1_XGBoost,mean_std,,,13,,,,0.7636600676674707,0.047009644335948904,32677067.31188634,6931923.00942006,3776317.7187655987,1149666.7941448337
