variable,province,lisa_cluster,grid_count,share_within_province
festival_pre_exposure_change,上海,High-High,0,0.0
festival_pre_exposure_change,上海,Low-Low,59,1.0
festival_pre_exposure_change,上海,High-Low,0,0.0
festival_pre_exposure_change,上海,Low-High,0,0.0
festival_pre_exposure_change,上海,Not significant,0,0.0
festival_pre_exposure_change,上海,NoData,0,0.0
festival_pre_exposure_change,云南,High-High,0,0.0
festival_pre_exposure_change,云南,Low-Low,248,0.06583488186886116
festival_pre_exposure_change,云南,High-Low,0,0.0
festival_pre_exposure_change,云南,Low-High,0,0.0
festival_pre_exposure_change,云南,Not significant,3493,0.9272630740642421
festival_pre_exposure_change,云南,NoData,26,0.006902044066896735
festival_pre_exposure_change,内蒙古,High-High,10,0.0011500862564692352
festival_pre_exposure_change,内蒙古,Low-Low,10,0.0011500862564692352
festival_pre_exposure_change,内蒙古,High-Low,0,0.0
festival_pre_exposure_change,内蒙古,Low-High,12,0.0013801035077630822
festival_pre_exposure_change,内蒙古,Not significant,7129,0.8198964922369177
festival_pre_exposure_change,内蒙古,NoData,1534,0.17642323174238067
festival_pre_exposure_change,北京,High-High,84,0.5316455696202531
festival_pre_exposure_change,北京,Low-Low,0,0.0
festival_pre_exposure_change,北京,High-Low,0,0.0
festival_pre_exposure_change,北京,Low-High,19,0.12025316455696203
festival_pre_exposure_change,北京,Not significant,55,0.34810126582278483
festival_pre_exposure_change,北京,NoData,0,0.0
festival_pre_exposure_change,台湾,High-High,22,0.06111111111111111
festival_pre_exposure_change,台湾,Low-Low,0,0.0
festival_pre_exposure_change,台湾,High-Low,0,0.0
festival_pre_exposure_change,台湾,Low-High,21,0.058333333333333334
festival_pre_exposure_change,台湾,Not significant,317,0.8805555555555555
festival_pre_exposure_change,台湾,NoData,0,0.0
festival_pre_exposure_change,吉林,High-High,0,0.0
festival_pre_exposure_change,吉林,Low-Low,142,0.0787139689578714
festival_pre_exposure_change,吉林,High-Low,0,0.0
festival_pre_exposure_change,吉林,Low-High,0,0.0
festival_pre_exposure_change,吉林,Not significant,1627,0.9018847006651884
festival_pre_exposure_change,吉林,NoData,35,0.019401330376940133
festival_pre_exposure_change,四川,High-High,268,0.06777946383409206
festival_pre_exposure_change,四川,Low-Low,112,0.02832574607991907
festival_pre_exposure_change,四川,High-Low,67,0.016944865958523014
festival_pre_exposure_change,四川,Low-High,14,0.0035407182599898838
festival_pre_exposure_change,四川,Not significant,3098,0.7835103692463329
festival_pre_exposure_change,四川,NoData,395,0.09989883662114314
festival_pre_exposure_change,天津,High-High,106,0.9380530973451328
festival_pre_exposure_change,天津,Low-Low,0,0.0
festival_pre_exposure_change,天津,High-Low,0,0.0
festival_pre_exposure_change,天津,Low-High,7,0.061946902654867256
festival_pre_exposure_change,天津,Not significant,0,0.0
festival_pre_exposure_change,天津,NoData,0,0.0
festival_pre_exposure_change,宁夏,High-High,0,0.0
festival_pre_exposure_change,宁夏,Low-Low,0,0.0
festival_pre_exposure_change,宁夏,High-Low,0,0.0
festival_pre_exposure_change,宁夏,Low-High,0,0.0
festival_pre_exposure_change,宁夏,Not significant,483,0.9797160243407708
festival_pre_exposure_change,宁夏,NoData,10,0.02028397565922921
festival_pre_exposure_change,安徽,High-High,343,0.2523914643119941
festival_pre_exposure_change,安徽,Low-Low,194,0.14275202354672553
