variable,province,lisa_cluster,grid_count,share_within_province
festival_pre_mobility_component,上海,High-High,0,0.0
festival_pre_mobility_component,上海,Low-Low,49,0.8305084745762712
festival_pre_mobility_component,上海,High-Low,10,0.1694915254237288
festival_pre_mobility_component,上海,Low-High,0,0.0
festival_pre_mobility_component,上海,Not significant,0,0.0
festival_pre_mobility_component,上海,NoData,0,0.0
festival_pre_mobility_component,云南,High-High,15,0.004010695187165776
festival_pre_mobility_component,云南,Low-Low,51,0.013636363636363636
festival_pre_mobility_component,云南,High-Low,37,0.009893048128342246
festival_pre_mobility_component,云南,Low-High,1,0.00026737967914438503
festival_pre_mobility_component,云南,Not significant,3636,0.9721925133689839
festival_pre_mobility_component,云南,NoData,0,0.0
festival_pre_mobility_component,内蒙古,High-High,0,0.0
festival_pre_mobility_component,内蒙古,Low-Low,10,0.0014080540692762602
festival_pre_mobility_component,内蒙古,High-Low,0,0.0
festival_pre_mobility_component,内蒙古,Low-High,0,0.0
festival_pre_mobility_component,内蒙古,Not significant,7092,0.9985919459307238
festival_pre_mobility_component,内蒙古,NoData,0,0.0
festival_pre_mobility_component,北京,High-High,0,0.0
festival_pre_mobility_component,北京,Low-Low,64,0.4050632911392405
festival_pre_mobility_component,北京,High-Low,10,0.06329113924050633
festival_pre_mobility_component,北京,Low-High,0,0.0
festival_pre_mobility_component,北京,Not significant,84,0.5316455696202531
festival_pre_mobility_component,北京,NoData,0,0.0
festival_pre_mobility_component,台湾,High-High,62,0.17222222222222222
festival_pre_mobility_component,台湾,Low-Low,0,0.0
festival_pre_mobility_component,台湾,High-Low,0,0.0
festival_pre_mobility_component,台湾,Low-High,7,0.019444444444444445
festival_pre_mobility_component,台湾,Not significant,291,0.8083333333333333
festival_pre_mobility_component,台湾,NoData,0,0.0
festival_pre_mobility_component,吉林,High-High,0,0.0
festival_pre_mobility_component,吉林,Low-Low,15,0.008484162895927601
festival_pre_mobility_component,吉林,High-Low,24,0.013574660633484163
festival_pre_mobility_component,吉林,Low-High,0,0.0
festival_pre_mobility_component,吉林,Not significant,1729,0.9779411764705882
festival_pre_mobility_component,吉林,NoData,0,0.0
festival_pre_mobility_component,四川,High-High,902,0.25473030217452697
festival_pre_mobility_component,四川,Low-Low,41,0.011578650098842135
festival_pre_mobility_component,四川,High-Low,57,0.016097147698390286
