variable,province,lisa_cluster,grid_count,share_within_province
post_festival_exposure_change,上海,High-High,54,0.9152542372881356
post_festival_exposure_change,上海,Low-Low,0,0.0
post_festival_exposure_change,上海,High-Low,0,0.0
post_festival_exposure_change,上海,Low-High,5,0.0847457627118644
post_festival_exposure_change,上海,Not significant,0,0.0
post_festival_exposure_change,上海,NoData,0,0.0
post_festival_exposure_change,云南,High-High,308,0.08176267586939209
post_festival_exposure_change,云南,Low-Low,3,0.0007963897000265463
post_festival_exposure_change,云南,High-Low,0,0.0
post_festival_exposure_change,云南,Low-High,0,0.0
post_festival_exposure_change,云南,Not significant,3433,0.9113352800637112
post_festival_exposure_change,云南,NoData,23,0.006105654366870188
post_festival_exposure_change,内蒙古,High-High,99,0.011385853939045428
post_festival_exposure_change,内蒙古,Low-Low,0,0.0
post_festival_exposure_change,内蒙古,High-Low,7,0.0008050603795284647
post_festival_exposure_change,内蒙古,Low-High,2,0.00023001725129384704
post_festival_exposure_change,内蒙古,Not significant,7406,0.8517538815411155
post_festival_exposure_change,内蒙古,NoData,1181,0.13582518688901668
post_festival_exposure_change,北京,High-High,103,0.6518987341772152
post_festival_exposure_change,北京,Low-Low,0,0.0
post_festival_exposure_change,北京,High-Low,0,0.0
post_festival_exposure_change,北京,Low-High,4,0.02531645569620253
post_festival_exposure_change,北京,Not significant,51,0.3227848101265823
post_festival_exposure_change,北京,NoData,0,0.0
post_festival_exposure_change,台湾,High-High,0,0.0
post_festival_exposure_change,台湾,Low-Low,44,0.12222222222222222
post_festival_exposure_change,台湾,High-Low,30,0.08333333333333333
post_festival_exposure_change,台湾,Low-High,0,0.0
post_festival_exposure_change,台湾,Not significant,286,0.7944444444444444
post_festival_exposure_change,台湾,NoData,0,0.0
post_festival_exposure_change,吉林,High-High,208,0.11529933481152993
post_festival_exposure_change,吉林,Low-Low,0,0.0
post_festival_exposure_change,吉林,High-Low,0,0.0
post_festival_exposure_change,吉林,Low-High,0,0.0
post_festival_exposure_change,吉林,Not significant,1569,0.8697339246119734
post_festival_exposure_change,吉林,NoData,27,0.014966740576496674
post_festival_exposure_change,四川,High-High,22,0.00556398583712696
post_festival_exposure_change,四川,Low-Low,946,0.23925139099645928
post_festival_exposure_change,四川,High-Low,39,0.009863429438543247
post_festival_exposure_change,四川,Low-High,40,0.010116337885685382
post_festival_exposure_change,四川,Not significant,2575,0.6512392513909965
post_festival_exposure_change,四川,NoData,332,0.08396560445118867
post_festival_exposure_change,天津,High-High,19,0.168141592920354
post_festival_exposure_change,天津,Low-Low,30,0.26548672566371684
post_festival_exposure_change,天津,High-Low,3,0.02654867256637168
post_festival_exposure_change,天津,Low-High,9,0.07964601769911504
post_festival_exposure_change,天津,Not significant,52,0.46017699115044247
post_festival_exposure_change,天津,NoData,0,0.0
post_festival_exposure_change,宁夏,High-High,0,0.0
post_festival_exposure_change,宁夏,Low-Low,0,0.0
post_festival_exposure_change,宁夏,High-Low,0,0.0
post_festival_exposure_change,宁夏,Low-High,0,0.0
post_festival_exposure_change,宁夏,Not significant,488,0.9898580121703854
post_festival_exposure_change,宁夏,NoData,5,0.010141987829614604
post_festival_exposure_change,安徽,High-High,37,0.027225901398086828
post_festival_exposure_change,安徽,Low-Low,627,0.4613686534216336
post_festival_exposure_change,安徽,High-Low,30,0.02207505518763797
post_festival_exposure_change,安徽,Low-High,48,0.03532008830022075
post_festival_exposure_change,安徽,Not significant,617,0.4540103016924209
post_festival_exposure_change,安徽,NoData,0,0.0
post_festival_exposure_change,山东,High-High,109,0.07374830852503383
post_festival_exposure_change,山东,Low-Low,735,0.4972936400541272
post_festival_exposure_change,山东,High-Low,26,0.017591339648173207
post_festival_exposure_change,山东,Low-High,89,0.060216508795669824
post_festival_exposure_change,山东,Not significant,518,0.35047361299052776
post_festival_exposure_change,山东,NoData,1,0.0006765899864682003
post_festival_exposure_change,山西,High-High,43,0.028420356906807668
post_festival_exposure_change,山西,Low-Low,336,0.22207534699272968
post_festival_exposure_change,山西,High-Low,188,0.12425644415069398
post_festival_exposure_change,山西,Low-High,11,0.007270323859881031
post_festival_exposure_change,山西,Not significant,934,0.6173165895571712
post_festival_exposure_change,山西,NoData,1,0.0006609385327164573
post_festival_exposure_change,广东,High-High,134,0.07519640852974187
post_festival_exposure_change,广东,Low-Low,489,0.27441077441077444
post_festival_exposure_change,广东,High-Low,204,0.11447811447811448
post_festival_exposure_change,广东,Low-High,31,0.01739618406285073
post_festival_exposure_change,广东,Not significant,924,0.5185185185185185
post_festival_exposure_change,广东,NoData,0,0.0
post_festival_exposure_change,广西,High-High,14,0.005904681568958245
post_festival_exposure_change,广西,Low-Low,654,0.2758329818641923
post_festival_exposure_change,广西,High-Low,159,0.06706031210459722
post_festival_exposure_change,广西,Low-High,19,0.008013496415014762
post_festival_exposure_change,广西,Not significant,1525,0.6431885280472375
post_festival_exposure_change,广西,NoData,0,0.0
post_festival_exposure_change,新疆,High-High,388,0.057893166219039095
post_festival_exposure_change,新疆,Low-Low,23,0.0034318113995822144
post_festival_exposure_change,新疆,High-Low,71,0.01059385258131901
post_festival_exposure_change,新疆,Low-High,0,0.0
post_festival_exposure_change,新疆,Not significant,4309,0.6429424052521635
post_festival_exposure_change,新疆,NoData,1911,0.28513876454789616
post_festival_exposure_change,江苏,High-High,216,0.2210849539406346
post_festival_exposure_change,江苏,Low-Low,325,0.33265097236438074
post_festival_exposure_change,江苏,High-Low,29,0.02968270214943705
post_festival_exposure_change,江苏,Low-High,60,0.06141248720573183
post_festival_exposure_change,江苏,Not significant,346,0.3541453428863869
post_festival_exposure_change,江苏,NoData,1,0.0010235414534288639
post_festival_exposure_change,江西,High-High,0,0.0
post_festival_exposure_change,江西,Low-Low,797,0.4824455205811138
post_festival_exposure_change,江西,High-Low,192,0.1162227602905569
post_festival_exposure_change,江西,Low-High,0,0.0
post_festival_exposure_change,江西,Not significant,661,0.4001210653753027
post_festival_exposure_change,江西,NoData,2,0.0012106537530266344
post_festival_exposure_change,河北,High-High,64,0.035378662244333885
post_festival_exposure_change,河北,Low-Low,703,0.38861249309010504
post_festival_exposure_change,河北,High-Low,29,0.016030956329463792
post_festival_exposure_change,河北,Low-High,14,0.007739082365948038
post_festival_exposure_change,河北,Not significant,999,0.5522388059701493
post_festival_exposure_change,河北,NoData,0,0.0
post_festival_exposure_change,河南,High-High,17,0.010638297872340425
post_festival_exposure_change,河南,Low-Low,1232,0.7709637046307884
post_festival_exposure_change,河南,High-Low,109,0.06821026282853566
post_festival_exposure_change,河南,Low-High,36,0.02252816020025031
post_festival_exposure_change,河南,Not significant,204,0.1276595744680851
post_festival_exposure_change,河南,NoData,0,0.0
post_festival_exposure_change,浙江,High-High,309,0.309
post_festival_exposure_change,浙江,Low-Low,15,0.015
post_festival_exposure_change,浙江,High-Low,5,0.005
post_festival_exposure_change,浙江,Low-High,67,0.067
post_festival_exposure_change,浙江,Not significant,604,0.604
post_festival_exposure_change,浙江,NoData,0,0.0
post_festival_exposure_change,海南,High-High,0,0.0
post_festival_exposure_change,海南,Low-Low,0,0.0
post_festival_exposure_change,海南,High-Low,0,0.0
post_festival_exposure_change,海南,Low-High,0,0.0
post_festival_exposure_change,海南,Not significant,351,0.9971590909090909
post_festival_exposure_change,海南,NoData,1,0.002840909090909091
post_festival_exposure_change,湖北,High-High,26,0.014380530973451327
post_festival_exposure_change,湖北,Low-Low,787,0.435287610619469
post_festival_exposure_change,湖北,High-Low,115,0.06360619469026549
post_festival_exposure_change,湖北,Low-High,27,0.014933628318584071
post_festival_exposure_change,湖北,Not significant,853,0.4717920353982301
post_festival_exposure_change,湖北,NoData,0,0.0
post_festival_exposure_change,湖南,High-High,0,0.0
post_festival_exposure_change,湖南,Low-Low,1257,0.6017233125897559
post_festival_exposure_change,湖南,High-Low,204,0.09765438008616563
post_festival_exposure_change,湖南,Low-High,0,0.0
post_festival_exposure_change,湖南,Not significant,626,0.2996649114408808
post_festival_exposure_change,湖南,NoData,2,0.0009573958831977022
