variable,province,lisa_cluster,grid_count,share_within_province
post_festival_mobility_component,上海,High-High,50,0.847457627118644
post_festival_mobility_component,上海,Low-Low,0,0.0
post_festival_mobility_component,上海,High-Low,0,0.0
post_festival_mobility_component,上海,Low-High,9,0.15254237288135594
post_festival_mobility_component,上海,Not significant,0,0.0
post_festival_mobility_component,上海,NoData,0,0.0
post_festival_mobility_component,云南,High-High,56,0.014973262032085561
post_festival_mobility_component,云南,Low-Low,3,0.0008021390374331551
post_festival_mobility_component,云南,High-Low,0,0.0
post_festival_mobility_component,云南,Low-High,26,0.006951871657754011
post_festival_mobility_component,云南,Not significant,3655,0.9772727272727273
post_festival_mobility_component,云南,NoData,0,0.0
post_festival_mobility_component,内蒙古,High-High,24,0.0033793297662630243
post_festival_mobility_component,内蒙古,Low-Low,0,0.0
post_festival_mobility_component,内蒙古,High-Low,10,0.0014080540692762602
post_festival_mobility_component,内蒙古,Low-High,17,0.0023936919177696423
post_festival_mobility_component,内蒙古,Not significant,7051,0.992818924246691
post_festival_mobility_component,内蒙古,NoData,0,0.0
post_festival_mobility_component,北京,High-High,63,0.3987341772151899
post_festival_mobility_component,北京,Low-Low,1,0.006329113924050633
post_festival_mobility_component,北京,High-Low,0,0.0
post_festival_mobility_component,北京,Low-High,20,0.12658227848101267
post_festival_mobility_component,北京,Not significant,74,0.46835443037974683
post_festival_mobility_component,北京,NoData,0,0.0
post_festival_mobility_component,台湾,High-High,0,0.0
post_festival_mobility_component,台湾,Low-Low,60,0.16666666666666666
post_festival_mobility_component,台湾,High-Low,19,0.05277777777777778
post_festival_mobility_component,台湾,Low-High,0,0.0
post_festival_mobility_component,台湾,Not significant,281,0.7805555555555556
post_festival_mobility_component,台湾,NoData,0,0.0
post_festival_mobility_component,吉林,High-High,20,0.011312217194570135
post_festival_mobility_component,吉林,Low-Low,0,0.0
post_festival_mobility_component,吉林,High-Low,0,0.0
post_festival_mobility_component,吉林,Low-High,17,0.009615384615384616
post_festival_mobility_component,吉林,Not significant,1731,0.9790723981900452
post_festival_mobility_component,吉林,NoData,0,0.0
post_festival_mobility_component,四川,High-High,55,0.015532335498446766
post_festival_mobility_component,四川,Low-Low,780,0.22027675797797233
post_festival_mobility_component,四川,High-Low,24,0.006777746399322226
post_festival_mobility_component,四川,Low-High,57,0.016097147698390286
post_festival_mobility_component,四川,Not significant,2625,0.7413160124258684
post_festival_mobility_component,四川,NoData,0,0.0
post_festival_mobility_component,天津,High-High,45,0.39823008849557523
post_festival_mobility_component,天津,Low-Low,19,0.168141592920354
post_festival_mobility_component,天津,High-Low,1,0.008849557522123894
post_festival_mobility_component,天津,Low-High,23,0.20353982300884957
post_festival_mobility_component,天津,Not significant,25,0.22123893805309736
post_festival_mobility_component,天津,NoData,0,0.0
post_festival_mobility_component,宁夏,High-High,8,0.016563146997929608
post_festival_mobility_component,宁夏,Low-Low,0,0.0
post_festival_mobility_component,宁夏,High-Low,0,0.0
post_festival_mobility_component,宁夏,Low-High,10,0.020703933747412008
post_festival_mobility_component,宁夏,Not significant,465,0.9627329192546584
post_festival_mobility_component,宁夏,NoData,0,0.0
post_festival_mobility_component,安徽,High-High,21,0.01545253863134658
post_festival_mobility_component,安徽,Low-Low,726,0.5342163355408388
post_festival_mobility_component,安徽,High-Low,36,0.026490066225165563
post_festival_mobility_component,安徽,Low-High,63,0.046357615894039736
post_festival_mobility_component,安徽,Not significant,513,0.37748344370860926
post_festival_mobility_component,安徽,NoData,0,0.0
post_festival_mobility_component,山东,High-High,38,0.025727826675693975
post_festival_mobility_component,山东,Low-Low,820,0.5551794177386594
