"category","rawdata_relative_path","size_bytes","size_mib","github_status","reason"
"Metadata","DataSource.txt","738","0.001","not_uploaded","Consolidated into Data/README.md."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180131_V4.nc","9324062","8.892","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180201_V4.nc","9503581","9.063","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180202_V4.nc","9095305","8.674","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180203_V4.nc","8938826","8.525","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180204_V4.nc","9084356","8.664","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180205_V4.nc","8931012","8.517","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180206_V4.nc","9248873","8.82","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180207_V4.nc","9324812","8.893","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180208_V4.nc","9435613","8.999","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180209_V4.nc","9394916","8.96","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180210_V4.nc","8926922","8.513","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180211_V4.nc","9031816","8.613","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180212_V4.nc","8845137","8.435","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180213_V4.nc","9148886","8.725","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180214_V4.nc","9126977","8.704","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180215_V4.nc","9152456","8.728","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180216_V4.nc","9628331","9.182","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180217_V4.nc","9362272","8.929","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180218_V4.nc","9165607","8.741","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180219_V4.nc","9151643","8.728","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180220_V4.nc","8893819","8.482","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180221_V4.nc","8834497","8.425","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180222_V4.nc","9013378","8.596","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180223_V4.nc","8826156","8.417","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180224_V4.nc","8815405","8.407","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180225_V4.nc","9091658","8.67","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180226_V4.nc","9228216","8.801","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180227_V4.nc","9152976","8.729","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180228_V4.nc","9111532","8.689","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180301_V4.nc","8796663","8.389","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180302_V4.nc","8934981","8.521","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180303_V4.nc","9286653","8.856","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180304_V4.nc","9026826","8.609","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180305_V4.nc","8820428","8.412","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180306_V4.nc","9034398","8.616","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180307_V4.nc","9030020","8.612","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180308_V4.nc","8899731","8.487","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180309_V4.nc","9082627","8.662","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180310_V4.nc","9180870","8.756","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180311_V4.nc","9421630","8.985","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"PM2.5","Environment/PM2.5/2018/CHAP_PM2.5_D1K_20180312_V4.nc","9497260","9.057","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"GDP","Others/2018WorldGDP/2018GDP.tfw","99","0","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"GDP","Others/2018WorldGDP/2018GDP.tif","2255252203","2150.776","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
"GDP","Others/2018WorldGDP/2018GDP.tif.aux.xml","1496","0.001","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"GDP","Others/2018WorldGDP/2018GDP.tif.ovr","758504733","723.366","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
"Built-up surface","Others/GEECode_GHSL_2015_built_up_ratio_China_region_1km.txt","1885","0.002","copied_to_Code/data_acquisition","Acquisition script contains no source raster values."
"Night-time lights","Others/GEECode_nighttime_lights_VNP46A2_201802_mean_China_500m.txt","1382","0.001","copied_to_Code/data_acquisition","Acquisition script contains no source raster values."
"Built-up surface","Others/GHSL_2015_built_up_ratio_China_region_1km.tif","41127323","39.222","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
"Road density","Others/GRIP4_density_total/grip4_area_land_km2.asc","34280792","32.693","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
"Road density","Others/GRIP4_density_total/GRIP4_density_m_km2.lyr","9216","0.009","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"Road density","Others/GRIP4_density_total/grip4_total_dens_m_km2.asc","48678018","46.423","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
"Road density","Others/GRIP4_density_total/ReadMe.txt","1109","0.001","not_uploaded","Licensed third-party source dataset; provider terms remain controlling; download from the cited provider."
"Night-time lights","Others/nighttime_lights_VNP46A2_201802_mean_China_500m.tif","1087020423","1036.663","not_uploaded","Source raster/NetCDF exceeds the repository 25 MiB policy or belongs to a large source collection; download from the cited provider."
